"FILEGROUPID","FILEGROUPNAME","IOPENMODE","IPRIORITY","FILETYPEFORMAT"
"101","LowGroup","0","1","0"
"100","HighGroup","0","2","1"
"102","MXFGroup","0","3","1"
"103","WMVGroup","0","4","0"
